Year,Employee_Group,BlockHrs_per_Emp_Month,ASMs_per_Emp_000,Employee_Count,PaxRev_per_Emp_000,Avg_Salary,Pax_per_Employee,Era
2015,Flight_Attendants,376.3846188281761,85610.46693922652,181.0,6599.097900552486,122963.42541436467,217196.46961325966,ULCC Pivot
2016,Flight_Attendants,474.7320708816956,107992.24342352942,170.0,6377.678235294118,151016.88235294132,262340.6647058824,ULCC Pivot
2017,Flight_Attendants,620.2064001080961,143106.2025490196,153.0,7482.066535947712,523310.45751633967,329411.137254902,ULCC Pivot
2018,Flight_Attendants,656.9574245472398,149048.469902439,164.0,7336.13237804878,208171.03658536577,355478.9268292683,ULCC Pivot
2019,Flight_Attendants,788.287472703721,176754.18665408806,159.0,8589.141006289308,457801.5723270445,428058.62264150946,ULCC Pivot
2020,Flight_Attendants,492.36562102041535,110759.52504575164,153.0,4135.238627450981,385475.81699346437,219672.9019607843,COVID Impact
1995,Maintenance,114.29761904761905,51206.71428571428,14.0,3830.422857142857,35327.14285714286,43675.07142857143,Startup & Growth
1996,Maintenance,105.15384615384615,50327.38461538462,26.0,4044.7350000000006,46929.230769230766,49360.692307692305,Startup & Growth
1997,Maintenance,73.06292517006803,36947.32653061225,49.0,2665.7424489795917,46164.897959183676,26084.224489795917,Startup & Growth
1998,Maintenance,74.84722222222221,40261.148148148146,54.0,3375.4548148148147,49549.81481481482,28332.87037037037,Startup & Growth
1999,Maintenance,33.99100378787879,19241.806818181816,176.0,1666.2839772727273,39067.61363636364,12363.772727272728,Startup & Growth
2000,Maintenance,29.806637806637806,17482.78354978355,231.0,1874.4341558441558,40960.17316017316,12522.90909090909,Startup & Growth
2001,Maintenance,31.733056708160444,19424.0,241.0,1778.5014937759336,56577.26141078837,12439.701244813277,Startup & Growth
2002,Maintenance,36.958653846153844,19933.23253846154,260.0,1707.5891923076922,70001.15384615386,14375.665384615384,Startup & Growth
2003,Maintenance,47.66772598870057,28725.424190677968,236.0,2365.0759322033896,81985.88983050849,21487.978813559323,Startup & Growth
2004,Maintenance,71.49585218702866,38898.8608959276,221.0,3040.436742081448,95248.5972850679,29130.864253393665,Expansion & Crisis
2005,Maintenance,49.22230538922156,27529.063377245508,334.0,2414.4149401197606,63318.83233532934,22005.215568862277,Expansion & Crisis
2006,Maintenance,52.22589531680441,28905.481162534434,363.0,2622.7370247933886,60803.774104683194,24612.801652892562,Expansion & Crisis
2007,Maintenance,51.83193779904306,30107.910598086128,418.0,2660.9805023923445,59872.655502392336,24880.794258373207,Expansion & Crisis
2008,Maintenance,148.91814814814816,53915.582737777775,225.0,5345.2191555555555,104454.93333333333,47292.16444444445,Expansion & Crisis
2009,Maintenance,75.24683544303797,44544.73775527426,237.0,3896.904810126582,81163.71308016877,39697.05907172996,Expansion & Crisis
2010,Maintenance,72.02278911564626,45006.85130612245,245.0,4429.797673469388,75738.20408163265,113287.82448979592,Restructuring
2011,Maintenance,78.98748211731045,50937.98622317596,233.0,6274.744506437768,93573.09012875537,136759.5321888412,Restructuring
2012,Maintenance,72.42577597840756,48212.92285020243,247.0,4731.077206477732,56042.51012145749,129983.25910931174,Restructuring
2013,Maintenance,67.97673611111111,45277.76315,240.0,4743.5900833333335,58142.625,133409.875,Restructuring
2014,Maintenance,83.75414781297134,56737.93949321267,221.0,5723.273574660633,71004.38914027148,165204.0,Restructuring
2015,Maintenance,115.11631016042782,82863.60703743316,187.0,6387.362139037433,86086.52406417113,210227.5989304813,ULCC Pivot
2016,Maintenance,125.13783783783784,99236.11557837838,185.0,5860.569189189189,82060.7027027027,241069.8,ULCC Pivot
2017,Maintenance,127.72678275290217,108931.58701492538,201.0,5695.304378109452,88134.07960199003,250745.79104477612,ULCC Pivot
2018,Maintenance,135.12857142857143,116399.75744761905,210.0,5729.170047619047,87189.47619047618,277612.1142857143,ULCC Pivot
2019,Maintenance,132.46938775510205,114709.85991020409,245.0,5574.177224489796,85559.4693877551,277801.31020408164,ULCC Pivot
2020,Maintenance,78.35790172642763,67514.77024701195,251.0,2520.6833067729085,92679.92031872508,133904.19920318725,COVID Impact
1995,Ground_Handling,15.386217948717949,6893.211538461538,104.0,515.6338461538461,15838.269230769229,5879.336538461538,Startup & Growth
1996,Ground_Handling,19.118881118881117,9150.433566433565,143.0,735.4063636363637,19106.923076923078,8974.67132867133,Startup & Growth
1997,Ground_Handling,17.379045307443366,8788.441747572815,206.0,634.0843689320388,19821.31067961165,6204.5,Startup & Growth
1995,All_Employees,4.908486707566462,2199.0613496932515,326.0,164.4966871165644,26883.9263803681,1875.6165644171779,Startup & Growth
1996,All_Employees,4.697594501718213,2248.3024054982816,582.0,180.6926288659794,24437.9381443299,2205.1168384879725,Startup & Growth
1997,All_Employees,4.805480984340044,2430.0926174496644,745.0,175.33071140939597,26570.926174496642,1715.606711409396,Startup & Growth
1998,All_Employees,3.9431707317073172,2121.0751219512194,1025.0,177.82883902439025,23336.88780487805,1492.658536585366,Startup & Growth
1999,All_Employees,3.6478150406504066,2064.9743902439022,1640.0,178.8207195121951,23666.731707317074,1326.8439024390243,Startup & Growth
2000,All_Employees,3.9457497612225407,2314.339828080229,1745.0,248.13426361031517,32872.91690544412,1657.760458452722,Startup & Growth
2001,All_Employees,3.5653457653457656,2182.370163170163,2145.0,199.82231235431234,35526.30303030303,1397.6540792540793,Startup & Growth
2002,All_Employees,4.000520399666944,2157.635495420483,2402.0,184.83480016652788,39931.411323896755,1556.0670274771023,Startup & Growth
2003,All_Employees,3.7813725490196077,2278.722725714286,2975.0,187.6161075630252,39827.37142857143,1704.5926050420169,Startup & Growth
2004,All_Employees,4.347986607961842,2365.615921298844,3634.0,184.90272977435333,42439.70831040176,1771.5798018712162,Expansion & Crisis
2005,All_Employees,4.337796833773087,2426.044107651715,3790.0,212.7742981530343,45880.976253298155,1939.2459102902374,Expansion & Crisis
2006,All_Employees,4.6995537927615265,2601.0633767972236,4034.0,236.00732275656918,47478.15071888945,2214.7860684184434,Expansion & Crisis
2007,All_Employees,4.1513220923548575,2411.401921824104,5219.0,213.12317493772755,42983.89346618125,1992.7518681739798,Expansion & Crisis
2008,All_Employees,6.784082472835256,2456.166453938044,4939.0,243.5056306944726,42437.98744685159,2154.431463859081,Expansion & Crisis
2009,All_Employees,3.735546711353163,2211.374706325932,4774.0,193.4575701717637,38378.519061583575,1970.717008797654,Expansion & Crisis
2010,All_Employees,4.095052989866171,2558.9878324437227,4309.0,251.86828266419127,44402.55047574843,6441.289626363426,Restructuring
2011,All_Employees,4.293999844454814,2769.143908072795,4286.0,341.11420205319644,52250.601959869346,7434.664255716286,Restructuring
2012,All_Employees,4.045492235790744,2693.033004070556,4422.0,264.26414970601536,46082.607417458166,7260.485074626866,Restructuring
2013,All_Employees,4.8210451142632,3211.1888758865252,3384.0,336.42482860520096,54794.50945626477,9461.693262411347,Restructuring
2014,All_Employees,4.7074432010851135,3188.9838830111903,3932.0,321.67941505595115,52666.79043743642,9285.372329603255,Restructuring
2015,All_Employees,7.226166498825109,5201.575869754952,2979.0,400.95223900637797,78445.03188989594,13196.562940584088,ULCC Pivot
2016,All_Employees,6.785023446658851,5380.621741500587,3412.0,317.76239742086756,70675.37514654161,13070.900644783118,ULCC Pivot
2017,All_Employees,6.678741762053416,5695.954471904267,3844.0,297.8033766909469,80135.98855359002,13111.31737773153,ULCC Pivot
2018,All_Employees,6.7021728861596594,5773.252022673595,4234.0,284.15817430325933,88137.17997165801,13769.141237600377,ULCC Pivot
2019,All_Employees,6.538074133763094,5661.546268734891,4964.0,275.1155157131345,88132.82433521353,13710.983279613216,ULCC Pivot
2020,All_Employees,3.9296370296370298,3385.855610789211,5005.0,126.41189010989011,85906.30969030967,6715.275524475524,COVID Impact
